PACKAGE,TYPE,METHOD,LINE,NOP,LOCm,NLS,CC,NOS,NOL,FE
ch.hsr.se2p.mrt,ISO8601DateParserHelperForTests,formatAndParse,48,1,3,0,1,3,1,
ch.hsr.se2p.mrt,ISO8601DateParserHelperForTests,formatAndParseToTimestamp,52,1,3,0,1,4,1,
ch.hsr.se2p.mrt,ISO8601DateParserHelperForTests,parse,12,1,21,5,3,22,2,
ch.hsr.se2p.mrt,ISO8601DateParserHelperForTests,toString,34,1,13,0,1,19,1,
ch.hsr.se2p.mrt.activities,ActivityHelper,displayAlertDialog,21,3,6,0,1,2,1,
ch.hsr.se2p.mrt.activities,ActivityHelper,getAlertDialog,28,3,8,0,1,7,1,
ch.hsr.se2p.mrt.activities,ActivityHelper,startSyncService,14,1,6,0,1,1,1,
ch.hsr.se2p.mrt.activities,LocationListenerAdapter,onLocationChanged,11,1,3,0,1,0,1,0
ch.hsr.se2p.mrt.activities,LocationListenerAdapter,onProviderDisabled,23,1,3,0,1,0,1,0
ch.hsr.se2p.mrt.activities,LocationListenerAdapter,onProviderEnabled,19,1,3,0,1,0,1,0
ch.hsr.se2p.mrt.activities,LocationListenerAdapter,onStatusChanged,15,3,3,0,1,0,1,0
ch.hsr.se2p.mrt.activities,LocationService,LocationService,23,2,7,0,1,7,1,0
ch.hsr.se2p.mrt.activities,LocationService,getCurrentGPSPosition,35,0,3,0,1,1,1,0
ch.hsr.se2p.mrt.activities,LocationService,getCurrentLocation,31,0,3,0,1,1,1,0
ch.hsr.se2p.mrt.activities,LocationService,getLocationProvider,39,0,9,0,1,8,1,0
ch.hsr.se2p.mrt.activities,LocationService,stop,49,0,3,0,1,1,1,0
ch.hsr.se2p.mrt.activities,LocationService$(anonymous),onLocationChanged,12,1,6,,2,3,1,3
ch.hsr.se2p.mrt.activities,LoginActivity,checkLoginData,67,0,7,0,2,11,2,0
ch.hsr.se2p.mrt.activities,LoginActivity,checkPreferencesForAutoLogin,61,0,5,0,2,5,2,1
